id,temperature_bmp,pressure,temperature_dht,humidity,timestamp
2111,24.44,999.806,23.5,48,04/03/25 14:29
2112,24.44,999.732,23.5,48,04/03/25 14:30
2113,24.45,999.763,23.5,48,04/03/25 14:30
2114,24.45,999.786,23.5,48,04/03/25 14:30
2115,24.45,999.795,23.5,48,04/03/25 14:30
2116,24.45,999.815,23.5,48,04/03/25 14:30
2117,24.46,999.781,23.5,48,04/03/25 14:30
2118,24.46,999.811,23.5,48,04/03/25 14:30
2119,24.46,999.762,23.5,48,04/03/25 14:30
2120,24.46,999.746,23.5,48,04/03/25 14:30
2121,24.46,999.757,23.5,48,04/03/25 14:30
2122,24.46,999.778,23.5,48,04/03/25 14:30
2123,24.46,999.753,23.5,48,04/03/25 14:31
2124,24.45,999.717,23.5,48,04/03/25 14:31
2125,24.46,999.747,23.5,48,04/03/25 14:31
2126,24.46,999.768,23.5,48,04/03/25 14:31
2127,24.46,999.77,23.5,48,04/03/25 14:31
2128,24.47,999.756,23.5,48,04/03/25 14:31
2129,24.47,999.76,23.5,48,04/03/25 14:31
2130,24.47,999.732,23.5,48,04/03/25 14:31
2131,24.47,999.802,23.5,48,04/03/25 14:31
2132,24.47,999.769,23.5,48,04/03/25 14:31
2133,24.47,999.785,23.5,48,04/03/25 14:31
2134,24.47,999.774,23.5,48,04/03/25 14:31
2135,24.47,999.742,23.5,48,04/03/25 14:32
2136,24.47,999.773,23.5,48,04/03/25 14:32
2137,24.47,999.77,23.5,47,04/03/25 14:32
2138,24.47,999.771,23.5,47,04/03/25 14:32
2139,24.47,999.728,23.5,48,04/03/25 14:32
2140,24.48,999.753,23.5,48,04/03/25 14:32
2141,24.48,999.8,23.5,47,04/03/25 14:32
2142,24.48,999.767,23.5,48,04/03/25 14:32
2143,24.48,999.78,23.5,47,04/03/25 14:32
2144,24.48,999.76,23.5,47,04/03/25 14:32
2145,24.49,999.77,23.5,47,04/03/25 14:32
2146,24.48,999.751,23.5,47,04/03/25 14:32
2147,24.49,999.76,23.5,47,04/03/25 14:33
2148,24.49,999.793,23.5,47,04/03/25 14:33
2149,24.49,999.782,23.5,47,04/03/25 14:33
2150,24.49,999.767,23.5,47,04/03/25 14:33
2151,24.49,999.774,23.5,47,04/03/25 14:33
2152,24.48,999.751,23.5,47,04/03/25 14:33
2153,24.49,999.743,23.5,47,04/03/25 14:33
2154,24.49,999.74,23.5,47,04/03/25 14:33
2155,24.49,999.733,23.5,47,04/03/25 14:33
2156,24.49,999.759,23.5,47,04/03/25 14:33
2157,24.49,999.735,23.5,47,04/03/25 14:33
2158,24.49,999.737,23.5,47,04/03/25 14:33
2159,24.49,999.75,23.5,47,04/03/25 14:34
2160,24.5,999.767,23.5,47,04/03/25 14:34
2161,24.5,999.752,23.5,47,04/03/25 14:34
